,Professor,Audio File Name,Transcripts File Name,file size ,Audio_file_length
0,Prof.D.Roychoudhury,"['Lecture-2_Introduction.mp3', 'Lecture-3_Digital_Logic-I.mp3', 'Lecture-4_Digital_Logic-II.mp3']","['Lecture-4_Digital_Logic-II.txt', 'Lecture-3_Digital_Logic-I.txt', 'Lecture-2_Introduction.txt']",3,"[3544.9469387755103, 3544.450612244898, 3546.4097959183673]"
1,Prof._Swati_Sharma,"['Isotopes_of_carbon.mp3', 'Mathematical_Representation_of_Material_Properties.mp3', 'Introduction_to_Materials_and_Manufacturing.mp3', 'Story_of_Carbon_Carbon_in_Technology.mp3', 'Story_of_Carbon_Carbon_on_Earth_and_in_Outer_Space.mp3']","['Mathematical_Representation_of_Material_Properties.txt', 'Introduction_to_Materials_and_Manufacturing.txt', 'Story_of_Carbon_Carbon_on_Earth_and_in_Outer_Space.txt', 'Isotopes_of_carbon.txt', 'Story_of_Carbon_Carbon_in_Technology.txt']",5,"[1596.290612244898, 791.3012244897959, 2023.7061224489796, 1425.3714285714286, 1820.4995918367347]"
2,Prof._Shakuntala_Mahanta,"['Lec_3_Articulation_of_vowels.mp3', 'Lec_2_Articulation_of_consonants_2.mp3', 'Lec_1_Articulation_of_consonants_1.mp3']","['Lec_3_Articulation_of_vowels.txt', 'Lec_2_Articulation_of_consonants_2.txt', 'Lec_1_Articulation_of_consonants_1.txt']",3,"[2394.4620408163264, 3085.871020408163, 3045.4595918367345]"
3,Prof._Barnali_Nag,"['Lecture_9_Elasticity_of_Supply.mp3', 'Lecture_7_Determinants_of_Elasticity_of_Demand.mp3', 'Lecture_8_Elasticity_and_Revenue.mp3', 'Lecture_10_Demand_Supply_and_Government_Policies.mp3', 'Lecture_6_Elasticity_of_Demand_and_Supply.mp3']","['Lecture_7_Determinants_of_Elasticity_of_Demand.txt', 'Lecture_6_Elasticity_of_Demand_and_Supply.txt', 'Lecture_9_Elasticity_of_Supply.txt', 'Lecture_10_Demand_Supply_and_Government_Policies.txt', 'Lecture_8_Elasticity_and_Revenue.txt']",5,"[1831.941224489796, 1689.0514285714285, 1530.6971428571428, 1783.9804081632653, 1610.24]"
4,Prof._Pavitra_Sandilya,"['mod01lec02.mp3', 'mod01lec04.mp3', 'mod01lec03.mp3', 'mod01lec05.mp3', 'mod01lec01.mp3']","['mod01lec02.txt', 'mod01lec04.txt', 'mod01lec05.txt', 'mod01lec01.txt', 'mod01lec03.txt']",5,"[1554.1289795918367, 1798.7918367346938, 1821.3877551020407, 1668.5191836734693, 1836.7477551020409]"
5,Dr._Shatarupa_Thakurta,"['Traditional_Roots_Elements_and_Principles.mp3', 'Timelines_and_Regions_General_Mapping.mp3', 'Evolution_in_Purpose_Ritualistic_to_Propagative.mp3', 'Contemporary_Practice.mp3', 'Classification_and_Connections_Traditional_Roots.mp3', 'Changing_Definition_of_Folk_and_Minor_Art.mp3', 'Timelessness_Primitive_Connection.mp3']","['Timelessness_Primitive_Connection.txt', 'Traditional_Roots_Elements_and_Principles.txt', 'Timelines_and_Regions_General_Mapping.txt', 'Classification_and_Connections_Traditional_Roots.txt', 'Evolution_in_Purpose_Ritualistic_to_Propagative.txt', 'Contemporary_Practice.txt', 'Changing_Definition_of_Folk_and_Minor_Art.txt']",7,"[1267.6702040816326, 1430.151836734694, 799.686530612245, 1050.8016326530612, 1601.149387755102, 965.1722448979592, 815.4122448979592]"
6,Prof._A._M._Kulkarni,"['Mod-01_Lec-04_Analysis_of_Dynamical_Systems-Contd-.mp3', 'Mod-01_Lec-02_Introduction.mp3', 'Mod-01_Lec-03_Analysis_of_Dynamical_Systems.mp3']","['Mod-01_Lec-02_Introduction.txt', 'Mod-01_Lec-03_Analysis_of_Dynamical_Systems.txt', 'Mod-01_Lec-04_Analysis_of_Dynamical_Systems-Contd-.txt']",3,"[3331.7877551020406, 3455.529795918367, 3358.380408163265]"
7,Prof._Indrava_Roy,"['mod01lec06-Properties_of_elementary_measure-Part_1.mp3', 'mod01lec05-Elementary_Sets_and_Elementary_measure-Part_2.mp3', 'mod01lec01-Finite_Sets_and_Cardinality.mp3', 'mod01lec03-Infinite_Sets_and_the_Banach-Tarski_Paradox-Part_2.mp3', 'mod01lec04-Elementary_Sets_and_Elementary_measure-Part_1.mp3', 'mod01lec02-Infinite_Sets_and_the_Banach-Tarski_Paradox-Part_1.mp3']","['mod01lec02-Infinite_Sets_and_the_Banach-Tarski_Paradox-Part_1.txt', 'mod01lec01-Finite_Sets_and_Cardinality.txt', 'mod01lec03-Infinite_Sets_and_the_Banach-Tarski_Paradox-Part_2.txt', 'mod01lec04-Elementary_Sets_and_Elementary_measure-Part_1.txt', 'mod01lec06-Properties_of_elementary_measure-Part_1.txt']",6,"[1614.9420408163264, 1536.6008163265305, 1476.4408163265307, 1200.9795918367347, 1487.7518367346938, 897.3322448979592]"
8,Prof._Kusum_Deep,"['Graphical_Method_for_LPP.mp3', 'More_OR_Models.mp3', 'Introduction_to_OR_Models.mp3']","['Graphical_Method_for_LPP.txt', 'More_OR_Models.txt', 'Introduction_to_OR_Models.txt']",3,"[1897.9004081632654, 2339.0563265306123, 2914.56]"
9,Prof._Sanjeev_K_Aggarwal,"['Mod-01_Lec-03.mp3', 'Mod-01_Lec-02.mp3', 'Mod-01_Lec-04.mp3']","['Mod-01_Lec-03.txt', 'Mod-01_Lec-02.txt', 'Mod-01_Lec-04.txt']",3,"[3253.0808163265306, 2915.526530612245, 3000.5289795918366]"
10,Prof._R.K._Shevgaonkar,"['Equations_of_Voltage_and_Current_on_TX_line.mp3', 'Propagation_constant_Characteristic_impedance_and_reflection_coefficient.mp3', 'Impedance_Transformation.mp3']","['Equations_of_Voltage_and_Current_on_TX_line.txt', 'Propagation_constant_Characteristic_impedance_and_reflection_coefficient.txt', 'Impedance_Transformation.txt']",3,"[3220.4016326530614, 3071.477551020408, 3169.9591836734694]"
11,"Prof._Prabhuraj_A_,_Prof._B._V._Patel,_Prof_M._Bheemana","['Mod-02_Lec-02_Insect_abundance_and_diversity.mp3', 'Mod-03_Lec-12_Ecological_Methods_of_Pest_Management-Physical.mp3', 'Mod-03_Lec-07_Principles_of_Pest_Management_and_History.mp3', 'Mod-03_Lec-08_IPM_Definition_and_Concepts.mp3', 'Mod-03_Lec-11_Ecological_Methods_of_Pest_Management-Cultural-Contd-.mp3', 'Mod-02_Lec-03_Insect_classification_based_on_economic_importance.mp3', 'Mod-02_Lec-06_Pest_surveillance_and_methods_of_sampling.mp3', 'Mod-03_Lec-09_Ecological_Methods_of_Pest_Management-Legal_and_Cultural.mp3', 'Mod-03_Lec-10_Ecological_Methods_of_Pest_Management-Cultural-Contd-.mp3', 'Mod-02_Lec-04_Pest_causes_for_outbreaks_and_categories.mp3', 'Mod-02_Lec-05_Pest_causes_for_outbreaks_and_categories_contd.mp3']","['Mod-03_Lec-10_Ecological_Methods_of_Pest_Management-Cultural-Contd-.txt', 'Mod-02_Lec-03_Insect_classification_based_on_economic_importance.txt', 'Mod-03_Lec-12_Ecological_Methods_of_Pest_Management-Physical.txt', 'Mod-03_Lec-08_IPM_Definition_and_Concepts.txt', 'Mod-03_Lec-07_Principles_of_Pest_Management_and_History.txt', 'Mod-02_Lec-05_Pest_causes_for_outbreaks_and_categories_contd.txt', 'Mod-03_Lec-09_Ecological_Methods_of_Pest_Management-Legal_and_Cultural.txt', 'Mod-02_Lec-04_Pest_causes_for_outbreaks_and_categories.txt', 'Mod-02_Lec-02_Insect_abundance_and_diversity.txt', 'Mod-03_Lec-11_Ecological_Methods_of_Pest_Management-Cultural-Contd-.txt', 'Mod-02_Lec-06_Pest_surveillance_and_methods_of_sampling.txt']",11,"[576.2089795918367, 526.2889795918368, 811.1804081632653, 608.3395918367347, 713.8481632653061, 547.7093877551021, 912.9273469387755, 579.3697959183673, 829.3093877551021, 619.9118367346939, 339.6702040816327]"
12,Prof._Samyak_ZANZARI,"['Wave_Propagation_Power_FlowComplex_Poynting_vectorwave_equation_for_a_conducting_Medium.mp3', 'Reflection_and_Refraction_of_waves-Contd-The_Plane_slab.mp3', 'Wave_Guides.mp3']","['Wave_Guides.txt', 'Wave_Propagation_Power_FlowComplex_Poynting_vectorwave_equation_for_a_conducting_Medium.txt', 'Reflection_and_Refraction_of_waves-Contd-The_Plane_slab.txt']",3,"[3332.231836734694, 3182.132244897959, 2949.250612244898]"
